user_id,/,/features/mobile,/signup,/tutorial/intro,/tutorial/step-one,/tutorial/step-two,/tutorial/step-three,/tutorial/step-four,/tutorial/end,/about,/features/web,/features,/features/desktop,/pricing
66,2,20.0,5.0,18.0,5.0,12.0,,,,,16.0,19.0,,
67,20,,,,,,,,,,,,,
68,10,,,,,,,,,,,,,
69,8,18.0,5.0,20.0,14.0,7.0,15.0,,,,,10.0,6.0,
70,10,15.0,4.0,11.0,18.0,12.0,7.0,3.0,8.0,,9.0,,12.0,1.0
71,17,,11.0,7.0,12.0,9.0,15.0,,,,,,,2.0
72,19,,,,,,,,,,,,,
73,6,6.0,18.0,8.0,10.0,10.0,20.0,5.0,12.0,,,,,
74,3,15.0,3.0,2.0,17.0,11.0,,,,,,1.0,,
75,10,,7.0,,,,,,,,,,20.0,
76,3,,15.0,13.0,16.0,1.0,10.0,3.0,17.0,,,,,
77,15,,6.0,3.0,9.0,,,,,,,5.0,,
78,16,20.0,13.0,2.0,16.0,3.0,14.0,3.0,20.0,,10.0,,,
79,6,,,,,,,,,,,,,
80,12,,9.0,18.0,,,,,,,,,1.0,
81,12,8.0,9.0,5.0,8.0,19.0,3.0,10.0,8.0,,16.0,,10.0,
82,16,,11.0,17.0,20.0,5.0,6.0,,,,16.0,,,3.0
83,9,,,,,,,,,,,,,
84,12,,,,,,,,,,,18.0,,
85,12,,,,,,,,,,,,,
86,9,,,,,,,,,,,,,
87,10,,,,,,,,,,,,,
88,6,4.0,6.0,11.0,,,,,,,,,,15.0
89,14,,,,,,,,,,,,,
90,5,,8.0,9.0,5.0,19.0,,,,,17.0,19.0,10.0,
91,20,,15.0,18.0,20.0,,,,,,,,18.0,
92,1,17.0,4.0,,,,,,,,,,,
93,18,,11.0,,,,,,,,1.0,11.0,,
94,1,,2.0,,,,,,,,1.0,1.0,,
95,18,,,,,,,,,,,,,
96,2,,18.0,4.0,,,,,,,5.0,,,
97,11,,4.0,15.0,18.0,16.0,18.0,16.0,9.0,,,,11.0,
98,20,15.0,14.0,13.0,6.0,1.0,13.0,10.0,15.0,,16.0,,,
99,1,,,,,,,,,,,,,
100,12,3.0,10.0,,,,,,,,,,,
101,19,,,,,,,,,,,,,
102,1,12.0,13.0,,,,,,,,,,,
103,14,,,,,,,,,,11.0,,,
104,8,,3.0,18.0,5.0,3.0,18.0,11.0,15.0,,16.0,13.0,,
105,6,,10.0,12.0,,,,,,,,,,
106,3,,,,,,,,,,,,,
107,18,,,,,,,,,,,,,
108,17,,10.0,11.0,4.0,13.0,7.0,9.0,10.0,,,,,
109,10,,14.0,20.0,9.0,14.0,1.0,10.0,,,,,17.0,
110,2,9.0,15.0,11.0,13.0,7.0,8.0,12.0,,19.0,2.0,,4.0,
111,2,,1.0,,,,,,,2.0,,,2.0,
112,2,,,,,,,,,,,,,
113,17,,16.0,5.0,13.0,20.0,13.0,,,,17.0,,,
114,5,,,,,,,,,,,,,
115,1,4.0,2.0,,,,,,,,,,,
116,14,6.0,3.0,12.0,19.0,19.0,6.0,,,,,,,
117,2,2.0,2.0,,,,,,,,,,,
118,9,,,,,,,,,,,,,
119,19,18.0,13.0,11.0,2.0,9.0,14.0,,,,,20.0,,
120,11,,10.0,15.0,5.0,2.0,13.0,,,,,,,
121,1,,,,,,,,,,,,,
122,4,,8.0,10.0,18.0,20.0,14.0,8.0,19.0,,,,14.0,
123,10,,18.0,3.0,5.0,14.0,4.0,4.0,1.0,,,,12.0,
124,14,16.0,1.0,,,,,,,,18.0,,,
125,14,,1.0,,,,,,,,,,,
126,3,,,,,,,,,,,,,
127,11,14.0,3.0,17.0,12.0,16.0,4.0,13.0,11.0,11.0,,,,
128,16,,,,,,,,,,,,,
129,16,,,,,,,,,,,,,
130,19,,4.0,5.0,14.0,11.0,19.0,13.0,3.0,,16.0,,,
131,1,,1.0,,,,,,,,,,,
132,13,,15.0,,,,,,,,1.0,,,14.0
133,11,18.0,20.0,16.0,,,,,,,,,,
134,8,,,,,,,,,,,,,
135,9,17.0,15.0,1.0,4.0,9.0,1.0,18.0,1.0,,,6.0,,
136,8,,8.0,4.0,2.0,4.0,8.0,5.0,2.0,,8.0,,,
137,5,,4.0,16.0,12.0,5.0,17.0,19.0,1.0,,,,,
138,2,,14.0,,,,,,,,,,,
139,12,4.0,6.0,6.0,18.0,9.0,13.0,4.0,20.0,,9.0,,,
140,20,,12.0,8.0,7.0,,,,,,,,,
141,8,,,,,,,,,,,,,
142,12,,,,,,,,,,,,,
143,7,20.0,5.0,,,,,,,14.0,,,4.0,
144,14,6.0,,,,,,,,,,,,
145,12,,16.0,,,,,,,,9.0,,,
146,9,12.0,10.0,3.0,19.0,16.0,19.0,11.0,2.0,,,,,
147,7,,8.0,5.0,12.0,11.0,11.0,1.0,,,,,,
148,12,6.0,,,,,,,,,17.0,,13.0,
149,18,,13.0,11.0,18.0,7.0,18.0,14.0,13.0,,,,,20.0
150,13,,18.0,,,,,,,,,3.0,12.0,
151,1,,2.0,,,,,,,,,1.0,2.0,2.0
152,20,12.0,,,,,,,,,,,,
153,9,,12.0,1.0,3.0,4.0,,,,,,,,
154,12,,,,,,,,,,,,,
155,1,,10.0,15.0,2.0,5.0,9.0,18.0,19.0,,,,,
156,2,1.0,,,,,,,,,,,,
157,20,,11.0,9.0,,,,,,9.0,,16.0,,
158,2,,8.0,6.0,19.0,10.0,13.0,4.0,16.0,,4.0,20.0,,
159,1,,,,,,,,,,,,,
160,1,,,,,,,,,,,,,
161,8,,1.0,,,,,,,,15.0,,,
162,5,,,,,,,,,,,,,
163,15,,10.0,15.0,16.0,8.0,1.0,4.0,9.0,,,,,
164,2,,,,,,,,,,2.0,,,
165,4,,2.0,,,,,,,,,,,
166,2,,6.0,,,,,,,,,,,
167,6,,,,,,,,,,,,,
168,17,,11.0,4.0,17.0,17.0,12.0,12.0,1.0,,,,,
169,1,,2.0,,,,,,,,,,,
170,15,,,,,,,,,,,,,
171,1,,1.0,,,,,,,,,,,
172,12,,12.0,,,,,,,,,,,
173,5,,,,,,,,,,,,,
174,15,,,,,,,,,,,,,
175,18,19.0,19.0,2.0,,,,,,,,,,9.0
176,15,9.0,20.0,10.0,1.0,15.0,10.0,11.0,7.0,,3.0,,,
177,19,7.0,16.0,5.0,,,,,,,,,,
178,12,16.0,1.0,18.0,8.0,19.0,,,,,,9.0,,
179,7,,13.0,3.0,6.0,9.0,8.0,1.0,8.0,,,,,
180,17,3.0,6.0,,,,,,,,,,,
181,15,5.0,14.0,16.0,13.0,11.0,3.0,3.0,,,,,19.0,
182,11,,20.0,18.0,8.0,3.0,13.0,7.0,18.0,,,,19.0,
183,8,,18.0,9.0,13.0,3.0,13.0,13.0,19.0,,7.0,,,12.0
184,15,,19.0,5.0,5.0,18.0,14.0,8.0,6.0,,,,,
185,3,,18.0,,,,,,,,,,,
186,15,,9.0,10.0,18.0,20.0,12.0,7.0,1.0,,,18.0,,
187,2,,15.0,18.0,7.0,15.0,9.0,7.0,4.0,,,,,17.0
188,17,,,,,,,,,,,,,
189,10,,12.0,2.0,8.0,6.0,12.0,16.0,5.0,,12.0,,2.0,
190,16,,,,,,,,,,,9.0,,
191,2,7.0,5.0,20.0,19.0,8.0,10.0,,,,9.0,,,
192,20,,10.0,13.0,,,,,,,,,,
193,2,,,,,,,,,,,,,
194,12,1.0,11.0,,,,,,,,,,,
195,12,,,,,,,,,,,12.0,,
196,12,2.0,16.0,5.0,11.0,6.0,6.0,14.0,4.0,,,,,
197,19,,20.0,7.0,15.0,1.0,17.0,12.0,4.0,,13.0,,,
198,12,10.0,1.0,14.0,13.0,13.0,,,,,,,,
199,13,,,,,,,,,,,17.0,,
200,1,,1.0,,,,,,,,1.0,,,
201,15,,,,,,,,,,17.0,3.0,2.0,
202,1,,,,,,,,,,,,,
203,4,,,,,,,,,,,,,
204,8,,6.0,14.0,20.0,1.0,6.0,10.0,,,20.0,,16.0,
205,2,2.0,,,,,,,,,,,,
206,14,,17.0,4.0,1.0,3.0,4.0,10.0,11.0,,,1.0,,
207,18,,9.0,,,,,,,,,,,15.0
208,20,,14.0,4.0,6.0,3.0,,,,,,,,
209,6,,1.0,9.0,16.0,18.0,2.0,8.0,13.0,12.0,12.0,,9.0,
210,1,,,,,,,,,,,,,
211,16,2.0,4.0,12.0,13.0,,,,,,,,,
212,17,,16.0,12.0,8.0,10.0,5.0,,,,6.0,,,
213,18,,18.0,5.0,13.0,6.0,3.0,20.0,11.0,,,,,
214,19,,5.0,20.0,17.0,9.0,17.0,10.0,4.0,,,,12.0,
215,13,,,,,,,,,,,,,
216,13,15.0,4.0,9.0,,,,,,,1.0,,17.0,
217,2,1.0,1.0,,,,,,,,1.0,,,
218,12,,,,,,,,,,,,,
219,6,17.0,,,,,,,,,17.0,,17.0,
220,11,9.0,13.0,12.0,,,,,,,,,,
221,11,,4.0,,,,,,,,,19.0,,
222,7,,11.0,4.0,,,,,,,,,,
223,1,,20.0,8.0,16.0,8.0,5.0,3.0,13.0,,14.0,,,
224,6,,19.0,,,,,,,,13.0,,17.0,
225,8,,,,,,,,,,,,,
226,19,,1.0,6.0,,,,,,,,14.0,17.0,
227,4,14.0,16.0,17.0,,,,,,,10.0,,,
228,7,,,,,,,,,,,,,
229,10,,1.0,7.0,15.0,4.0,14.0,,,,,,8.0,
230,9,,,,,,,,,,,,,
231,8,,8.0,,,,,,,,3.0,,,
232,17,11.0,7.0,20.0,5.0,3.0,,,,,,,,
233,1,,,,,,,,,,,,,
234,19,,19.0,10.0,19.0,,,,,,,18.0,,
235,18,,18.0,14.0,19.0,5.0,,,,,,7.0,,
236,2,,1.0,,,,,,,,,,17.0,
237,17,,4.0,17.0,20.0,12.0,15.0,,,,,,10.0,
238,9,8.0,15.0,9.0,,,,,,10.0,,2.0,,
239,1,,9.0,,,,,,,,,3.0,,
240,1,16.0,9.0,,,,,,,,,,3.0,
241,1,2.0,18.0,,,,,,,,4.0,,,
242,7,,,,,,,,,,,,,
243,1,1.0,2.0,,,,,,,,,,,
244,4,,3.0,2.0,9.0,7.0,6.0,8.0,5.0,,,,,
245,3,,20.0,18.0,9.0,3.0,,,,,1.0,,,11.0
246,4,,,,,,,,,,,,,
247,17,,,,,,,,,,,,,
248,4,4.0,1.0,5.0,16.0,9.0,,,,,,,,
249,18,,,,,,,,,,,,,
250,13,,12.0,12.0,10.0,2.0,4.0,18.0,11.0,,,,,
251,14,,14.0,10.0,3.0,,,,,,,,16.0,
252,10,16.0,6.0,,,,,,,,,,5.0,
253,15,,11.0,11.0,7.0,1.0,,,,,17.0,,17.0,
254,1,,,,,,,,,,,2.0,,
255,14,,8.0,18.0,10.0,,,,,,,,,
256,15,,20.0,3.0,,,,,,,,,,
257,2,,1.0,,,,,,,,,,1.0,
258,8,,1.0,,,,,,,,16.0,,,8.0
259,17,1.0,16.0,10.0,2.0,17.0,11.0,1.0,16.0,,,,,
260,7,,1.0,17.0,3.0,11.0,9.0,4.0,1.0,,,4.0,13.0,
261,3,17.0,3.0,3.0,6.0,3.0,14.0,,,20.0,,,,
262,14,,11.0,15.0,13.0,7.0,14.0,,,,6.0,2.0,,
263,6,,,,,,,,,,,,,
264,17,,13.0,15.0,6.0,,,,,,14.0,,5.0,
265,6,,13.0,,,,,,,,2.0,,,
266,7,17.0,2.0,,,,,,,,,,,
267,11,1.0,,,,,,,,,19.0,4.0,4.0,18.0
268,1,1.0,2.0,,,,,,,,2.0,,,2.0
269,6,,17.0,16.0,,,,,,,5.0,8.0,,
270,2,,,,,,,,,,,,,
271,5,,9.0,,,,,,,,,,,20.0
272,2,,19.0,14.0,,,,,,,10.0,,6.0,
273,1,,2.0,,,,,,,,2.0,,,
274,15,,,,,,,,,,,7.0,,
275,4,,15.0,12.0,15.0,4.0,7.0,,,,9.0,,19.0,
276,12,,,,,,,,,,,,,
277,4,,4.0,16.0,12.0,13.0,3.0,,,,,9.0,,20.0
278,2,,1.0,,,,,,,,,,,1.0
279,10,17.0,1.0,7.0,5.0,15.0,2.0,,,,,,,
280,19,,,,,,,,,,10.0,,,
281,2,15.0,13.0,8.0,,,,,,,,,,
282,2,,19.0,16.0,1.0,4.0,11.0,17.0,19.0,15.0,6.0,,,
283,3,,11.0,,,,,,,,,,,
284,14,,,,,,,,,,,,,
285,1,8.0,18.0,11.0,10.0,17.0,,,,,,,,
286,2,2.0,2.0,,,,,,,,,,,
287,7,,14.0,,,,,,,,,,2.0,
288,17,,14.0,15.0,8.0,15.0,18.0,15.0,18.0,,,,15.0,
289,15,18.0,4.0,,,,,,,,,,,13.0
290,17,,20.0,17.0,,,,,,,18.0,,20.0,
291,2,,17.0,20.0,16.0,16.0,,,,,,5.0,3.0,
292,17,,,,,,,,,,,,,
293,1,,9.0,16.0,9.0,6.0,3.0,1.0,6.0,,18.0,,,
294,11,,,,,,,,,,7.0,,,
295,18,14.0,8.0,18.0,6.0,16.0,1.0,4.0,6.0,,,,14.0,
296,18,,12.0,18.0,10.0,,,,,,12.0,,,
297,18,,,,,,,,,,,,,
298,1,,1.0,,,,,,,,,,1.0,
299,4,17.0,3.0,15.0,3.0,3.0,3.0,12.0,,,,,,
300,20,,,,,,,,,,8.0,,16.0,
301,4,,,,,,,,,,,,,
302,19,,,,,,,,,,,,,
303,6,,1.0,,,,,,,,,,11.0,
304,2,,,,,,,,,,,,,
305,20,,,,,,,,,,,,,
306,16,10.0,20.0,4.0,15.0,13.0,,,,,,,19.0,
307,13,,4.0,17.0,1.0,14.0,15.0,19.0,16.0,,3.0,,12.0,
308,1,,,,,,,,,,1.0,,,
309,4,,14.0,11.0,1.0,15.0,,,,,,,,3.0
310,3,,,,,,,,,,,,,
311,1,,,,,,,,,,,2.0,,
312,13,,2.0,11.0,20.0,,,,,,,,,
313,6,,,,,,,,,13.0,,,,
314,8,,13.0,18.0,15.0,14.0,4.0,20.0,10.0,,,,,
315,15,,16.0,15.0,5.0,5.0,12.0,7.0,10.0,,,,20.0,
316,10,,1.0,1.0,1.0,13.0,15.0,17.0,6.0,,5.0,,,
317,16,,4.0,,,,,,,,8.0,,17.0,
318,4,,,,,,,,,,,,,
319,8,,19.0,12.0,9.0,,,,,,,,,
320,13,,,,,,,,,,,,,
321,1,2.0,2.0,,,,,,,,,,2.0,
322,1,,2.0,,,,,,,,,,1.0,
323,3,,15.0,8.0,,,,,,1.0,,,,
324,13,,4.0,13.0,3.0,2.0,9.0,1.0,10.0,,9.0,,15.0,
325,3,,2.0,13.0,14.0,17.0,,,,,,,,
326,6,,19.0,7.0,9.0,2.0,10.0,17.0,,,,,,
327,10,,11.0,20.0,17.0,2.0,16.0,,,,,19.0,,
328,2,,,,,,,,,,,,,
329,14,8.0,12.0,7.0,1.0,20.0,18.0,10.0,11.0,,19.0,,,
330,2,,,,,,,,,,,,,
331,1,,1.0,,,,,,,,2.0,,1.0,2.0
332,19,6.0,16.0,18.0,,,,,,,,,,
333,1,,,,,,,,,,,,,
334,11,15.0,,,,,,,,,,,,
335,10,,6.0,16.0,19.0,20.0,10.0,11.0,17.0,,1.0,,,
336,6,,7.0,17.0,17.0,11.0,,,,,,,,
337,14,,9.0,7.0,9.0,1.0,12.0,15.0,,,19.0,,,
338,7,,11.0,13.0,8.0,18.0,,,,,,10.0,20.0,18.0
339,12,,,,,,,,,,,,,
340,14,,19.0,,,,,,,,,8.0,,
341,19,,,,,,,,,,17.0,,20.0,
342,6,,6.0,2.0,10.0,8.0,17.0,,,,11.0,,,
343,17,,18.0,20.0,6.0,,,,,9.0,16.0,,1.0,
344,12,,,,,,,,,,,,,
345,4,,20.0,14.0,8.0,19.0,4.0,1.0,3.0,13.0,5.0,,,
346,13,,16.0,,,,,,,,,,,
347,19,,19.0,16.0,2.0,5.0,18.0,10.0,11.0,,7.0,,,
348,7,,,,,,,,,,9.0,,,
349,8,,,,,,,,,,,,,
350,11,,18.0,8.0,8.0,12.0,7.0,12.0,,,,,,
351,1,,2.0,,,,,,,,,,,1.0
352,10,,,,,,,,,,,,,
353,12,,1.0,,,,,,,,5.0,19.0,7.0,
354,9,,3.0,,,,,,,,,,,
355,16,,11.0,14.0,16.0,12.0,11.0,9.0,7.0,,,,7.0,
356,16,,6.0,2.0,8.0,,,,,,,,,9.0
357,2,,,,,,,,,,,,,
358,10,10.0,13.0,5.0,,,,,,,,,,
359,1,,,,,,,,,,,,,
360,15,19.0,15.0,19.0,13.0,7.0,16.0,7.0,,,3.0,,13.0,
361,2,,2.0,,,,,,,,3.0,,,
362,3,,15.0,3.0,2.0,13.0,20.0,14.0,,7.0,,,,17.0
363,11,,,,,,,,,,,,,
364,13,,6.0,7.0,2.0,5.0,8.0,,,,,,,
365,16,,,,,,,,,,,3.0,,
366,3,,,,,,,,,,,,,
367,13,4.0,13.0,,,,,,,,,,,
368,9,,6.0,,,,,,,,,13.0,,15.0
369,3,,,,,,,,,,,,,
370,7,17.0,17.0,12.0,14.0,14.0,,,,,,1.0,,
371,14,,4.0,11.0,14.0,20.0,15.0,17.0,11.0,,7.0,,6.0,
372,12,18.0,6.0,9.0,20.0,10.0,13.0,16.0,,,,,14.0,
373,5,,19.0,10.0,,,,,,,,,14.0,
374,14,,,,,,,,,,,,,
375,1,,1.0,,,,,,,,,,,1.0
376,5,,8.0,,,,,,,,9.0,,,
377,9,,,,,,,,,,,10.0,,
378,7,,,,,,,,,,,,,
379,8,,7.0,17.0,20.0,3.0,6.0,,,,,,,
380,4,14.0,,,,,,,,,,,,
381,2,,,,,,,,,,,,,
382,13,2.0,5.0,,,,,,,20.0,,,,
383,1,2.0,2.0,,,,,,,,,,,
384,20,,4.0,3.0,14.0,5.0,13.0,2.0,,,12.0,,,
385,2,,,,,,,,,,,,,
386,8,,17.0,16.0,11.0,15.0,20.0,8.0,11.0,,2.0,,,
387,13,11.0,15.0,,,,,,,9.0,,7.0,,
388,20,,,,,,,,,,,,,
389,1,,2.0,,,,,,,,,2.0,2.0,
390,9,,,,,,,,,,,,,
391,2,,1.0,20.0,14.0,10.0,3.0,16.0,11.0,,,,,
392,2,2.0,2.0,,,,,,,,,,,
393,5,,12.0,2.0,3.0,19.0,1.0,,,,,,,
394,3,,5.0,16.0,1.0,9.0,,,,13.0,,,,
395,3,,15.0,5.0,14.0,,,,,,,,,
396,13,,1.0,19.0,8.0,13.0,10.0,,,,9.0,,,
397,11,13.0,1.0,,,,,,,,,,,
398,18,,10.0,,,,,,,,,20.0,11.0,
399,8,,9.0,16.0,18.0,18.0,17.0,2.0,,,20.0,,,
400,5,,,,,,,,,,,,,
401,1,2.0,2.0,,,,,,,,,1.0,,
402,6,,10.0,,,,,,,,19.0,,3.0,13.0
403,9,,11.0,18.0,16.0,,,,,,,,,
404,10,,,,,,,,,,,,,
405,2,,1.0,,,,,,,,2.0,,,
406,17,14.0,19.0,,,,,,,,,,,
407,14,,9.0,,,,,,,,3.0,,,
408,17,,,,,,,,,,,,,
409,14,,12.0,14.0,3.0,17.0,,,,,,11.0,13.0,
410,12,,,,,,,,,,,,,
411,1,,,,,,,,,,1.0,,,
412,19,15.0,5.0,18.0,17.0,,,,,,11.0,20.0,,
413,1,,2.0,,,,,,,,,,,
414,7,,8.0,20.0,10.0,5.0,5.0,11.0,12.0,,10.0,,1.0,
415,9,,17.0,20.0,13.0,3.0,12.0,2.0,15.0,,,,,6.0
416,1,20.0,10.0,3.0,16.0,4.0,1.0,7.0,8.0,,,,,
417,15,15.0,2.0,9.0,,,,,,,20.0,,14.0,
418,18,,,,,,,,,,15.0,,,
419,13,11.0,2.0,19.0,12.0,,,,,,,,,
420,17,2.0,12.0,,,,,,,,,,,3.0
421,10,,18.0,9.0,11.0,18.0,1.0,4.0,13.0,,,2.0,,
422,14,,11.0,7.0,20.0,,,,,,,,,
423,17,16.0,13.0,13.0,,,,,,,5.0,,,
424,11,19.0,4.0,4.0,16.0,12.0,1.0,,,,12.0,,,
425,9,,,,,,,,,,,,,
426,6,,2.0,20.0,12.0,,,,,,,,,
427,10,,1.0,7.0,5.0,14.0,8.0,1.0,3.0,,3.0,,,
428,16,,,,,,,,,,,,,
429,20,,,,,,,,,,,,,
430,10,,3.0,8.0,20.0,,,,,,1.0,,,
431,20,,17.0,,,,,,,,17.0,3.0,,
432,9,,,,,,,,,,,,,
433,8,9.0,4.0,12.0,,,,,,,,11.0,1.0,
434,19,10.0,9.0,4.0,4.0,6.0,12.0,1.0,8.0,,,15.0,20.0,
435,12,6.0,13.0,14.0,,,,,,,1.0,,2.0,
436,19,11.0,20.0,,,,,,,,8.0,,,
437,2,,,,,,,,,,,,,
438,1,,2.0,,,,,,,,2.0,,,
439,17,,15.0,6.0,13.0,14.0,,,,,,,,
440,16,8.0,16.0,17.0,18.0,11.0,12.0,19.0,15.0,,,20.0,17.0,
441,1,,19.0,18.0,,,,,,,,6.0,,
442,4,,8.0,,,,,,,,2.0,,,
443,3,,14.0,11.0,12.0,17.0,8.0,17.0,7.0,,,,8.0,
444,19,,13.0,,,,,,,,17.0,11.0,,
445,7,,4.0,13.0,19.0,17.0,19.0,10.0,8.0,,4.0,,11.0,
446,1,2.0,2.0,,,,,,,,1.0,,,
447,19,,15.0,19.0,12.0,1.0,20.0,13.0,14.0,,,,,
448,17,,11.0,5.0,7.0,,,,,,8.0,,16.0,
449,4,,14.0,5.0,18.0,19.0,15.0,,,,,,,
450,2,,15.0,7.0,,,,,,,19.0,,18.0,
451,17,,7.0,14.0,11.0,9.0,9.0,19.0,18.0,,10.0,9.0,,
452,7,,12.0,17.0,17.0,10.0,3.0,,,,,,,
453,7,,,,,,,,,,,16.0,,
454,9,18.0,10.0,1.0,4.0,12.0,17.0,15.0,6.0,,,6.0,,
455,17,3.0,11.0,14.0,6.0,16.0,7.0,11.0,9.0,,,15.0,,
456,17,,,,,,,,,,,,,
457,18,,11.0,12.0,14.0,10.0,16.0,19.0,15.0,,2.0,20.0,,
458,1,,1.0,,,,,,,,,,2.0,
459,20,,,,,,,,,,,13.0,,
460,2,16.0,20.0,11.0,11.0,14.0,12.0,5.0,5.0,,,4.0,14.0,
461,4,,10.0,14.0,6.0,,,,,,,,,
462,14,,7.0,10.0,,,,,,,2.0,3.0,3.0,
463,13,,,,,,,,,14.0,,8.0,,
464,9,16.0,12.0,,,,,,,,,,,
465,6,3.0,17.0,,,,,,,,,,,
466,2,13.0,4.0,19.0,19.0,8.0,,,,,,,,
467,19,20.0,17.0,4.0,16.0,13.0,7.0,4.0,14.0,,,,,
468,20,3.0,6.0,,,,,,,,20.0,,,
469,5,,5.0,16.0,13.0,17.0,4.0,6.0,6.0,,,,,
470,20,,16.0,7.0,14.0,,,,,,,,,
471,1,,,,,,,,,,,9.0,3.0,8.0
472,6,16.0,15.0,15.0,,,,,,,,,3.0,
473,1,,,,,,,,,,,,,
474,1,15.0,4.0,4.0,20.0,11.0,9.0,12.0,16.0,,8.0,11.0,,
475,14,,13.0,11.0,6.0,15.0,9.0,12.0,10.0,,,,,
476,11,,1.0,,,,,,,,5.0,,,
477,14,,,,,,,,,,,,,
478,6,,2.0,10.0,4.0,2.0,8.0,12.0,,,,,,
479,19,,15.0,11.0,6.0,3.0,17.0,1.0,8.0,,,,16.0,
480,9,,1.0,6.0,2.0,1.0,3.0,18.0,20.0,,9.0,,,
481,16,,4.0,3.0,14.0,8.0,4.0,2.0,,2.0,15.0,13.0,2.0,
482,8,,8.0,4.0,9.0,2.0,19.0,2.0,15.0,,,19.0,10.0,
483,4,,19.0,14.0,,,,,,,,,,
484,3,13.0,16.0,16.0,20.0,11.0,3.0,,,11.0,9.0,,,
485,2,,,,,,,,,,,,,
486,5,4.0,12.0,8.0,9.0,12.0,,,,,,,,
487,7,,7.0,,,,,,,,12.0,,,
488,6,,6.0,,,,,,,,,,3.0,
